,period,num_trips,passenger_count,total_amount,trip_distance
0,2023-03-13,787016,1044648.0,22096056.769999124,3079735.4700000132
1,2023-03-06,774813,1019293.0,21192570.669999536,2739557.7600000137
2,2002-12-30,5,7.0,326.7,62.67
3,2008-12-29,2,2.0,65.95,14.33
4,2014-11-17,1,2.0,52.38,6.43
5,2023-03-20,734288,969859.0,20675428.189999305,2935650.000000011
6,2023-04-03,69,100.0,1693.55,179.48000000000002
7,2023-02-20,55,54.0,910.8999999999999,0.01
8,2001-01-01,3,5.0,171.7,34.22
9,2023-03-27,546619,707576.0,15487225.759999387,2120015.0300000105
10,2023-02-27,560895,739953.0,15181854.489999712,2412606.419999994
